season,batter,batting_team,balls_faced,total_runs,fours,sixes,strike_rate
2019,PP Chawla,Kolkata Knight Riders,37,42,4,2,113.51
2019,CH Morris,Delhi Capitals,37,32,1,2,86.49
2019,Avesh Khan,Delhi Capitals,3,4,1,0,133.33
2019,MM Sharma,Chennai Super Kings,2,0,0,0,0.0
2019,DJ Hooda,Sunrisers Hyderabad,63,64,5,1,101.59
2019,Ishan Kishan,Mumbai Indians,100,101,8,4,101.0
2019,Sandeep Sharma,Sunrisers Hyderabad,3,6,1,0,200.0
2019,LS Livingstone,Rajasthan Royals,48,70,6,5,145.83
2020/21,JJ Bumrah,Mumbai Indians,3,5,0,0,166.67
2020/21,AR Patel,Delhi Capitals,83,117,6,8,140.96
2020/21,R Parag,Rajasthan Royals,77,86,6,3,111.69
2020/21,RD Gaikwad,Chennai Super Kings,169,204,16,6,120.71
2020/21,Shubman Gill,Kolkata Knight Riders,372,439,44,9,118.01
2020/21,KS Williamson,Sunrisers Hyderabad,236,316,26,10,133.9
2020/21,RA Tripathi,Kolkata Knight Riders,181,230,21,10,127.07
2020/21,Mujeeb Ur Rahman,Kings XI Punjab,3,1,0,0,33.33
2020/21,HV Patel,Delhi Capitals,24,21,2,0,87.5
2020/21,S Nadeem,Sunrisers Hyderabad,8,7,1,0,87.5
2021,Washington Sundar,Royal Challengers Bangalore,46,30,2,0,65.22
2021,Mohammed Siraj,Royal Challengers Bangalore,26,20,1,1,76.92
2021,RA Jadeja,Chennai Super Kings,155,221,19,8,142.58
2021,SV Samson,Rajasthan Royals,351,481,45,17,137.04
2021,M Vohra,Rajasthan Royals,39,42,5,2,107.69
2021,S Dube,Rajasthan Royals,193,230,18,10,119.17
2021,AM Rahane,Delhi Capitals,8,8,1,0,100.0
2021,DJ Bravo,Chennai Super Kings,18,47,3,4,261.11
2021,J Yadav,Mumbai Indians,26,34,2,1,130.77
2021,KL Nagarkoti,Kolkata Knight Riders,2,0,0,0,0.0
2021,Ravi Bishnoi,Punjab Kings,4,1,0,0,25.0
2022,DP Conway,Chennai Super Kings,172,252,23,12,146.51
2022,SP Jackson,Kolkata Knight Riders,26,23,0,1,88.46
2022,Kuldeep Yadav,Delhi Capitals,52,48,3,2,92.31
2022,D Brevis,Mumbai Indians,113,161,14,11,142.48
2022,JM Bairstow,Punjab Kings,173,252,34,9,145.66
2022,Aman Hakim Khan,Kolkata Knight Riders,3,5,1,0,166.67
2022,RP Meredith,Mumbai Indians,1,0,0,0,0.0
2023,CV Varun,Kolkata Knight Riders,9,1,0,0,11.11
2023,I Sharma,Delhi Capitals,1,1,0,0,100.0
2023,Q de Kock,Lucknow Super Giants,101,143,10,8,141.58
2024,SV Samson,Rajasthan Royals,343,530,48,24,154.52
2024,C Green,Royal Challengers Bengaluru,178,255,22,10,143.26
2024,Anuj Rawat,Royal Challengers Bengaluru,77,98,10,3,127.27
2024,SP Narine,Kolkata Knight Riders,269,488,50,33,181.41
