batter,season,batting_team,matches,total_runs,highest_score,fours,sixes,balls_faced,strike_rate,avg_per_match
DG Nalkande,2024,Gujarat Titans,1,12,6,0,1,11,109.09,12.0
Tanush Kotian,2024,Rajasthan Royals,1,24,4,3,0,31,77.42,24.0
RD Chahar,2024,Punjab Kings,2,21,6,3,1,15,140.0,10.5
Sanvir Singh,2024,Sunrisers Hyderabad,3,14,4,1,0,12,116.67,4.67
N Rana,2024,Kolkata Knight Riders,2,42,6,5,1,34,123.53,21.0
Noor Ahmad,2025,Chennai Super Kings,6,7,2,0,0,17,41.18,1.17
K Rabada,2025,Gujarat Titans,2,9,6,0,1,8,112.5,4.5
MK Pandey,2025,Kolkata Knight Riders,3,92,6,5,5,65,141.54,30.67
PHKD Mendis,2025,Sunrisers Hyderabad,5,91,6,7,2,68,133.82,18.2
Avesh Khan,2025,Lucknow Super Giants,3,21,6,3,1,12,175.0,7.0
XC Bartlett,2025,Punjab Kings,1,11,4,1,0,15,73.33,11.0
PVD Chameera,2025,Delhi Capitals,3,10,1,0,0,14,71.43,3.33
G Coetzee,2025,Gujarat Titans,2,16,6,2,1,10,160.0,8.0
BB McCullum,2007/08,Kolkata Knight Riders,4,188,6,13,15,91,206.59,47.0
RT Ponting,2007/08,Kolkata Knight Riders,4,39,6,2,1,53,73.58,9.75
IK Pathan,2007/08,Kings XI Punjab,10,130,6,9,6,115,113.04,13.0
S Sohal,2007/08,Kings XI Punjab,2,4,2,0,0,8,50.0,2.0
S Sreesanth,2007/08,Kings XI Punjab,2,0,0,0,0,3,0.0,0.0
MK Tiwary,2007/08,Delhi Daredevils,7,104,4,16,0,85,122.35,14.86
MF Maharoof,2007/08,Delhi Daredevils,8,125,6,10,7,79,158.23,15.63
Salman Butt,2007/08,Kolkata Knight Riders,7,192,6,30,2,160,120.0,27.43
MS Gony,2007/08,Chennai Super Kings,5,35,6,2,3,22,159.09,7.0
M Muralitharan,2007/08,Chennai Super Kings,1,0,0,0,0,3,0.0,0.0
Abdur Razzak,2007/08,Royal Challengers Bangalore,1,0,0,0,0,2,0.0,0.0
SD Chitnis,2007/08,Mumbai Indians,2,12,4,1,0,9,133.33,6.0
A Mukund,2007/08,Chennai Super Kings,1,0,0,0,0,1,0.0,0.0
K Goel,2009,Kings XI Punjab,8,124,6,9,4,133,93.23,15.5
HH Gibbs,2009,Deccan Chargers,14,371,6,32,12,330,112.42,26.5
RG Sharma,2009,Deccan Chargers,16,354,6,20,18,313,113.1,22.13
R Bishnoi,2009,Royal Challengers Bangalore,3,19,6,1,2,17,111.76,6.33
MV Boucher,2009,Royal Challengers Bangalore,9,143,6,8,5,114,125.44,15.89
MN van Wyk,2009,Kolkata Knight Riders,5,163,6,18,1,131,124.43,32.6
