season,bowler,bowling_team,balls_bowled,runs_conceded,wickets,economy
2012,AN Ahmed,Mumbai Indians,12,16,0,8.0
2012,JH Kallis,Kolkata Knight Riders,324,391,15,7.24
2012,A Singh,Rajasthan Royals,197,299,10,9.11
2012,AB McDonald,Royal Challengers Bangalore,60,60,5,6.0
2012,DL Vettori,Royal Challengers Bangalore,210,234,5,6.69
2012,SK Raina,Chennai Super Kings,84,104,2,7.43
2012,AB Agarkar,Delhi Daredevils,86,130,3,9.07
2012,LJ Wright,Pune Warriors,12,24,0,12.0
2012,J Syed Mohammad,Royal Challengers Bangalore,42,64,0,9.14
2013,A Nehra,Delhi Daredevils,216,307,11,8.53
2013,UT Yadav,Delhi Daredevils,353,499,16,8.48
2013,JD Unadkat,Royal Challengers Bangalore,294,365,13,7.45
2013,B Laughlin,Chennai Super Kings,42,68,1,9.71
2013,Anand Rajan,Sunrisers Hyderabad,48,39,2,4.88
2013,AB McDonald,Royal Challengers Bangalore,12,17,1,8.5
2013,P Suyal,Mumbai Indians,18,20,1,6.67
2014,Harbhajan Singh,Mumbai Indians,330,350,14,6.36
2014,PP Chawla,Kolkata Knight Riders,237,302,14,7.65
2014,R Dhawan,Kings XI Punjab,284,346,13,7.31
2014,BW Hilfenhaus,Chennai Super Kings,168,238,8,8.5
2014,IK Pathan,Sunrisers Hyderabad,142,203,4,8.58
2014,P Suyal,Mumbai Indians,18,32,1,10.67
2014,Ankit Sharma,Rajasthan Royals,48,43,4,5.38
2014,BE Hendricks,Kings XI Punjab,72,119,4,9.92
2014,VS Malik,Rajasthan Royals,18,28,1,9.33
2015,B Kumar,Sunrisers Hyderabad,310,393,18,7.61
2015,AN Ahmed,Royal Challengers Bangalore,72,113,1,9.42
2015,KA Pollard,Mumbai Indians,76,115,3,9.08
2016,Harbhajan Singh,Mumbai Indians,294,386,9,7.88
2016,Sandeep Sharma,Kings XI Punjab,300,357,15,7.14
2016,Mustafizur Rahman,Sunrisers Hyderabad,366,411,17,6.74
2016,D Wiese,Royal Challengers Bangalore,24,45,0,11.25
2016,CJ Jordan,Royal Challengers Bangalore,168,239,11,8.54
2016,N Rana,Mumbai Indians,6,3,0,3.0
2017,STR Binny,Royal Challengers Bangalore,36,49,4,8.17
2017,AB Dinda,Rising Pune Supergiant,60,114,1,11.4
2017,JJ Bumrah,Mumbai Indians,362,422,20,6.99
2017,CH Morris,Delhi Daredevils,186,237,12,7.65
2017,S Nadeem,Delhi Daredevils,107,116,6,6.5
2017,B Stanlake,Royal Challengers Bangalore,48,68,2,8.5
2017,SK Raina,Gujarat Lions,72,102,1,8.5
2017,AJ Tye,Gujarat Lions,126,139,12,6.62
2017,JD Unadkat,Rising Pune Supergiant,275,318,24,6.94
2017,S Kaul,Sunrisers Hyderabad,214,293,16,8.21
2018,DL Chahar,Chennai Super Kings,229,258,10,6.76
2018,HH Pandya,Mumbai Indians,256,361,18,8.46
2018,A Mishra,Delhi Daredevils,222,259,12,7.0
2018,CH Morris,Delhi Daredevils,84,140,3,10.0
2018,Kuldeep Yadav,Kolkata Knight Riders,308,410,17,7.99
2018,Shakib Al Hasan,Sunrisers Hyderabad,342,451,14,7.91
2018,Sandeep Sharma,Sunrisers Hyderabad,264,324,12,7.36
2018,Yuvraj Singh,Kings XI Punjab,12,22,0,11.0
2019,S Kaul,Sunrisers Hyderabad,162,234,6,8.67
2019,Mujeeb Ur Rahman,Kings XI Punjab,114,175,3,9.21
2020/21,PJ Cummins,Kolkata Knight Riders,312,393,12,7.56
2020/21,SN Thakur,Chennai Super Kings,194,264,10,8.16
2020/21,Harpreet Brar,Kings XI Punjab,24,40,0,10.0
2020/21,LH Ferguson,Kolkata Knight Riders,122,143,8,7.03
2020/21,DS Kulkarni,Mumbai Indians,18,20,0,6.67
2021,Avesh Khan,Delhi Capitals,366,431,24,7.07
2021,MP Stoinis,Delhi Capitals,67,109,2,9.76
2021,DL Chahar,Chennai Super Kings,324,436,14,8.07
2021,T Natarajan,Sunrisers Hyderabad,48,67,2,8.38
2021,Shakib Al Hasan,Kolkata Knight Riders,156,185,4,7.12
2021,R Parag,Rajasthan Royals,37,71,1,11.51
2021,GJ Maxwell,Royal Challengers Bangalore,96,132,3,8.25
2021,DJ Hooda,Punjab Kings,96,136,2,8.5
2021,MC Henriques,Punjab Kings,60,44,4,4.4
2021,JR Hazlewood,Chennai Super Kings,210,288,11,8.23
2021,LH Ferguson,Kolkata Knight Riders,180,217,13,7.23
2022,TU Deshpande,Chennai Super Kings,42,62,1,8.86
2022,Mohammed Siraj,Royal Challengers Bangalore,306,484,9,9.49
2022,Rasikh Salam,Kolkata Knight Riders,24,28,0,7.0
2022,K Gowtham,Lucknow Super Giants,72,99,5,8.25
2022,A Nortje,Delhi Capitals,134,200,9,8.96
2022,AK Markram,Sunrisers Hyderabad,36,64,1,10.67
2022,R Powell,Delhi Capitals,6,16,0,16.0
2022,JR Hazlewood,Royal Challengers Bangalore,279,367,20,7.89
2022,PJ Sangwan,Gujarat Titans,54,63,3,7.0
2023,SP Narine,Kolkata Knight Riders,288,374,11,7.79
2023,Avesh Khan,Lucknow Super Giants,174,277,8,9.55
2023,AU Rashid,Sunrisers Hyderabad,42,56,2,8.0
2023,RJW Topley,Royal Challengers Bangalore,12,14,1,7.0
2023,MG Bracewell,Royal Challengers Bangalore,66,95,6,8.64
2023,Suyash Sharma,Kolkata Knight Riders,234,315,10,8.08
2023,M Ashwin,Rajasthan Royals,24,52,0,13.0
2023,Arjun Tendulkar,Mumbai Indians,59,79,3,8.03
2023,Abhishek Sharma,Sunrisers Hyderabad,72,121,2,10.08
2023,Akash Madhwal,Mumbai Indians,153,204,15,8.0
2023,CJ Jordan,Mumbai Indians,132,228,3,10.36
2024,K Rabada,Punjab Kings,252,362,11,8.62
2024,HH Pandya,Mumbai Indians,216,377,11,10.47
2024,S Joseph,Lucknow Super Giants,24,36,0,9.0
2024,M Shahrukh Khan,Gujarat Titans,12,15,0,7.5
2024,N Thushara,Mumbai Indians,156,236,8,9.08
2024,Ramandeep Singh,Kolkata Knight Riders,4,9,0,13.5
2024,Naman Dhir,Mumbai Indians,28,54,0,11.57
2024,K Gowtham,Lucknow Super Giants,12,28,0,14.0
2024,Atharva Taide,Punjab Kings,1,4,0,24.0
2025,Simarjeet Singh,Sunrisers Hyderabad,60,137,2,13.7
2025,AR Patel,Delhi Capitals,216,310,5,8.61
2025,Yash Thakur,Punjab Kings,39,75,1,11.54
2007/08,GD McGrath,Delhi Daredevils,324,351,12,6.5
2007/08,AM Nayar,Mumbai Indians,42,67,1,9.57
2007/08,M Kartik,Kolkata Knight Riders,88,126,3,8.59
2007/08,Mohammad Hafeez,Kolkata Knight Riders,60,61,2,6.1
2007/08,CRD Fernando,Mumbai Indians,120,151,10,7.55
2007/08,AD Mascarenhas,Rajasthan Royals,24,27,2,6.75
2007/08,RR Powar,Kings XI Punjab,72,86,3,7.17
2009,DW Steyn,Royal Challengers Bangalore,54,57,2,6.33
2009,AB Agarkar,Kolkata Knight Riders,186,270,6,8.71
2009,CH Gayle,Kolkata Knight Riders,113,132,1,7.01
2009,SB Jakati,Chennai Super Kings,174,216,13,7.45
2009,S Sreesanth,Kings XI Punjab,138,182,6,7.91
2009,WPUJC Vaas,Deccan Chargers,48,61,4,7.63
2009/10,TL Suman,Deccan Chargers,12,22,0,11.0
2009/10,R Sathish,Mumbai Indians,48,78,2,9.75
2009/10,R Ashwin,Chennai Super Kings,288,284,12,5.92
2009/10,MS Gony,Chennai Super Kings,48,89,1,11.13
2009/10,AB Agarkar,Kolkata Knight Riders,132,193,4,8.77
2009/10,SB Wagh,Rajasthan Royals,6,16,1,16.0
2009/10,AP Dole,Rajasthan Royals,66,105,5,9.55
2011,TG Southee,Chennai Super Kings,114,161,4,8.47
2011,A Mithun,Royal Challengers Bangalore,204,291,5,8.56
2011,AUK Pathan,Royal Challengers Bangalore,33,43,0,7.82
2011,MM Patel,Mumbai Indians,326,355,22,6.53
2011,R Sharma,Pune Warriors,300,271,16,5.42
2011,B Lee,Kolkata Knight Riders,272,322,5,7.1
2011,Y Venugopal Rao,Delhi Daredevils,12,26,0,13.0
2011,S Dhawan,Deccan Chargers,12,11,1,5.5
2012,PP Ojha,Mumbai Indians,180,205,9,6.83
2012,YK Pathan,Kolkata Knight Riders,132,173,2,7.86
2012,KK Cooper,Rajasthan Royals,144,169,10,7.04
2012,A Nehra,Pune Warriors,288,392,11,8.17
